-,-,-
117, -528, 719
181, -524, 667
210, -462, 647
270, -454, 606
256, -444, 636
256, -444, 636
206, -427, 645
200, -426, 651
186, -438, 657
142, -466, 707
82, -485, 798
42, -479, 852
42, -479, 852
34, -473, 862
3, -499, 902
-65, -518, 981
-141, -517, 1051
-169, -503, 1026
-191, -502, 989
-213, -519, 958
-213, -519, 958
-273, -526, 1003
-304, -505, 1066
-296, -488, 1064
-308, -479, 1051
-335, -472, 1049
-338, -448, 1055
-313, -436, 1025
-292, -424, 983
-273, -420, 928
-261, -408, 893
-245, -391, 900
-222, -361, 925
-197, -339, 905
-164, -350, 828
-125, -370, 836
-93, -355, 879
-39, -348, 910
-39, -348, 910
12, -348, 918
40, -353, 903
60, -371, 886
86, -358, 909
123, -342, 958
123, -342, 958
158, -375, 897
165, -395, 932
197, -384, 956
229, -382, 908
241, -397, 894
250, -415, 907
250, -415, 907
265, -432, 921
282, -437, 946
267, -442, 938
260, -447, 943
268, -466, 982
272, -474, 980
267, -479, 983
267, -479, 983
274, -483, 1012
277, -506, 995
252, -519, 1019
229, -514, 1054
221, -509, 1046
183, -513, 1007
140, -515, 971
121, -512, 937
118, -512, 927
118, -512, 927
88, -494, 909
47, -479, 939
9, -462, 953
-2, -464, 916
-38, -462, 851
-38, -462, 851
-101, -437, 830
-146, -420, 871
-158, -425, 844
-179, -429, 772
-189, -442, 680
-182, -424, 704
-168, -412, 747
-162, -414, 729
-145, -421, 725
-127, -429, 708
-88, -464, 756
-,-,-
14, -506, 770
32, -489, 775
65, -487, 797
113, -501, 800
109, -463, 814
109, -463, 814
98, -456, 820
103, -460, 784
99, -450, 762
90, -456, 783
73, -460, 789
73, -460, 789
79, -454, 808
81, -444, 832
80, -462, 809
66, -477, 832
41, -476, 873
41, -476, 873
49, -458, 909
35, -458, 897
9, -464, 907
-22, -467, 906
-22, -467, 906
-38, -463, 910
-77, -465, 956
-104, -474, 960
-129, -481, 952
-175, -495, 959
-231, -504, 967
-262, -507, 973
-270, -504, 998
-277, -490, 1014
-292, -476, 1003
-282, -472, 997
-265, -462, 961
-265, -462, 961
-256, -441, 905
-235, -428, 900
-233, -427, 898
-219, -427, 870
-198, -406, 861
-166, -384, 884
-132, -371, 883
-114, -377, 884
-86, -379, 896
-48, -359, 903
-7, -359, 891
-7, -359, 891
42, -381, 867
79, -399, 926
110, -397, 975
133, -384, 995
132, -371, 959
132, -371, 959
145, -379, 915
144, -390, 953
169, -377, 943
201, -385, 899
228, -409, 916
269, -437, 919
269, -437, 919
289, -448, 900
272, -455, 926
267, -474, 932
253, -497, 954
241, -504, 972
222, -500, 990
192, -508, 1014
163, -520, 1034
163, -520, 1034
156, -530, 1035
155, -529, 1025
122, -528, 1001
106, -524, 971
126, -516, 950
148, -510, 922
123, -478, 873
80, -478, 859
80, -478, 859
36, -476, 870
0, -478, 865
-41, -458, 831
-86, -459, 762
-120, -446, 808
-134, -440, 791
-134, -440, 791
-142, -440, 747
-157, -425, 713
-173, -422, 730
-172, -438, 763
-142, -438, 785
-133, -456, 767
-137, -462, 759
-128, -473, 749
-102, -482, 762
-88, -494, 816
-,-,-
80, -515, 741
80, -515, 741
116, -490, 734
145, -484, 766
167, -465, 778
181, -443, 779
193, -431, 756
202, -422, 789
202, -422, 789
182, -426, 812
162, -416, 824
146, -433, 803
115, -473, 795
69, -499, 807
42, -486, 860
42, -486, 860
44, -454, 899
20, -476, 915
-33, -506, 909
-63, -509, 911
-49, -478, 947
-49, -478, 947
-52, -467, 954
-91, -495, 977
-126, -509, 974
-141, -499, 977
-159, -480, 980
-200, -484, 957
-230, -497, 935
-254, -490, 942
-259, -485, 939
-264, -476, 945
-264, -476, 945
-257, -467, 952
-240, -459, 948
-228, -449, 927
-230, -437, 937
-223, -426, 930
-204, -405, 922
-180, -390, 926
-162, -390, 916
-139, -390, 906
-122, -387, 896
-94, -388, 876
-60, -385, 881
-60, -385, 881
-15, -380, 891
10, -373, 880
20, -364, 890
65, -360, 930
118, -349, 935
118, -349, 935
148, -354, 902
