-,-,-
1, -12, 993
2, -12, 988
3, -10, 992
2, -11, 993
2, -11, 993
2, -12, 992
1, -11, 993
1, -11, 993
1, -11, 993
3, -11, 993
3, -11, 993
2, -11, 993
2, -11, 992
2, -11, 993
2, -11, 993
3, -11, 992
2, -12, 992
2, -12, 992
1, -11, 992
1, -11, 993
2, -12, 992
2, -12, 992
2, -11, 992
1, -12, 993
1, -12, 993
1, -12, 992
3, -11, 992
2, -12, 992
2, -12, 992
2, -11, 992
1, -11, 992
1, -11, 992
1, -12, 992
1, -12, 992
1, -12, 992
2, -11, 992
2, -11, 993
2, -12, 993
2, -12, 993
2, -12, 992
-,-,-
3, -13, 985
3, -13, 985
1, -11, 991
2, -11, 991
2, -11, 992
2, -11, 992
1, -11, 994
2, -11, 992
2, -11, 992
2, -11, 993
1, -11, 993
2, -11, 993
2, -11, 993
2, -11, 992
2, -12, 992
2, -12, 992
2, -12, 993
2, -12, 993
2, -11, 993
2, -11, 993
2, -10, 993
1, -12, 993
1, -12, 993
1, -12, 992
2, -12, 992
2, -12, 992
2, -11, 992
1, -11, 993
2, -12, 992
2, -12, 992
2, -12, 992
2, -11, 993
2, -11, 993
2, -11, 993
2, -12, 993
2, -12, 991
2, -12, 991
1, -12, 994
-,-,-
1, -11, 993
0, -13, 985
1, -12, 993
2, -12, 992
2, -12, 992
2, -11, 994
2, -12, 992
2, -12, 992
1, -12, 992
2, -12, 993
2, -11, 993
2, -11, 993
2, -12, 992
1, -12, 993
1, -12, 993
1, -12, 993
2, -12, 992
2, -12, 992
2, -11, 993
2, -11, 992
1, -11, 992
1, -11, 992
2, -12, 993
1, -11, 992
1, -11, 992
1, -11, 993
2, -11, 993
2, -11, 992
2, -11, 992
1, -11, 993
2, -12, 992
2, -12, 992
2, -12, 993
2, -11, 994
2, -12, 992
2, -12, 992
2, -12, 992
2, -12, 992
2, -12, 992
2, -12, 993
1, -12, 993
1, -12, 993
1, -11, 992
1, -12, 993
1, -12, 993
-,-,-
2, -13, 978
2, -13, 978
1, -12, 993
1, -11, 993
1, -11, 993
1, -11, 992
2, -11, 993
2, -11, 993
1, -12, 992
1, -11, 992
2, -10, 992
2, -10, 992
2, -10, 992
2, -11, 992
2, -11, 992
1, -12, 993
1, -11, 993
2, -10, 993
2, -10, 993
2, -11, 993
2, -12, 993
2, -12, 993
2, -11, 992
1, -11, 993
1, -11, 992
1, -11, 992
3, -11, 993
2, -12, 993
2, -12, 993
1, -12, 992
1, -11, 992
1, -11, 992
2, -11, 993
2, -10, 993
2, -12, 992
2, -12, 992
1, -12, 993
1, -12, 993
1, -12, 993
2, -11, 992
2, -11, 993
-,-,-
-2, -8, 991
7, -15, 982
1, -11, 993
1, -11, 993
2, -11, 993
1, -12, 993
1, -12, 993
1, -11, 992
1, -11, 993
1, -11, 993
2, -11, 992
2, -11, 994
2, -12, 992
2, -12, 992
2, -12, 993
1, -11, 991
1, -11, 991
2, -11, 993
2, -12, 992
1, -11, 993
1, -11, 993
2, -12, 993
2, -11, 992
2, -11, 992
2, -11, 993
1, -11, 993
2, -11, 992
2, -11, 992
2, -12, 993
1, -11, 992
1, -11, 992
2, -12, 993
2, -12, 992
2, -12, 992
1, -12, 992
1, -11, 992
1, -11, 993
1, -11, 993
2, -11, 993
2, -12, 993
2, -12, 993
2, -12, 993
-,-,-
1, -12, 981
1, -12, 981
1, -11, 993
2, -11, 993
2, -11, 993
1, -11, 992
1, -11, 994
2, -12, 992
2, -12, 992
2, -11, 992
2, -12, 993
2, -12, 993
2, -12, 993
2, -11, 992
2, -11, 992
0, -12, 992
1, -11, 993
2, -12, 994
2, -12, 994
2, -12, 993
2, -11, 992
2, -11, 992
2, -11, 992
1, -12, 992
1, -12, 993
1, -12, 993
2, -12, 992
1, -11, 993
1, -11, 993
2, -12, 992
1, -11, 993
1, -11, 993
1, -11, 993
2, -12, 992
2, -11, 993
2, -11, 993
2, -12, 993
2, -11, 992
2, -11, 992
2, -11, 993
1, -12, 992
1, -12, 993
-,-,-
0, -13, 979
0, -13, 979
3, -11, 993
2, -11, 993
2, -11, 993
2, -11, 993
1, -11, 992
2, -11, 992
2, -11, 992
1, -12, 993
2, -11, 993
2, -11, 993
2, -11, 992
2, -11, 993
1, -11, 992
1, -11, 992
2, -11, 993
1, -11, 992
1, -11, 992
2, -11, 993
1, -12, 992
1, -12, 992
2, -11, 993
2, -12, 993
1, -11, 992
1, -11, 992
1, -11, 992
3, -11, 992
3, -11, 992
1, -11, 992
2, -11, 993
1, -12, 993
1, -12, 993
2, -12, 992
2, -12, 993
2, -12, 993
1, -11, 993
1, -11, 993
1, -11, 992
1, -11, 992
2, -11, 993
-,-,-
1, -11, 985
1, -11, 985
2, -11, 996
1, -12, 992
2, -11, 992
2, -11, 992
1, -11, 993
1, -11, 992
1, -11, 992
2, -11, 993
2, -12, 993
2, -11, 992
2, -11, 992
2, -11, 993
2, -11, 993
2, -11, 993
2, -11, 992
1, -11, 992
1, -11, 992
1, -10, 993
1, -11, 991
2, -11, 993
2, -11, 993
2, -12, 992
1, -12, 993
1, -12, 993
1, -12, 993
2, -11, 993
2, -10, 993
2, -10, 993
3, -11, 992
2, -12, 992
2, -12, 992
1, -12, 992
2, -11, 993
2, -11, 993
2, -11, 992
2, -11, 992
1, -11, 992
1, -11, 992
1, -12, 993
2, -12, 993
2, -12, 993
1, -11, 991
2, -11, 993
1, -10, 992
1, -10, 992
1, -12, 993
-,-,-
3, -12, 983
3, -12, 983
1, -11, 993
2, -11, 992
2, -11, 992
2, -11, 992
1, -11, 993
1, -11, 993
1, -12, 993
2, -11, 993
2, -10, 993
2, -10, 993
3, -11, 992
1, -12, 992
1, -12, 992
1, -12, 992
2, -12, 992
2, -10, 993
2, -10, 993
1, -11, 992
1, -12, 992
1, -12, 992
2, -12, 992
2, -12, 993
2, -12, 993
2, -11, 992
1, -10, 993
1, -11, 991
1, -11, 991
2, -11, 992
1, -11, 992
1, -11, 992
2, -12, 993
1, -12, 993
1, -11, 992
1, -11, 992
1, -11, 992
2, -11, 992
2, -11, 992
2, -11, 991
1, -12, 993
2, -12, 992
2, -12, 992
2, -11, 992
2, -11, 994
2, -11, 994
-,-,-
10, -16, 976
-7, -7, 996
2, -11, 993
2, -11, 993
2, -11, 992
2, -11, 992
2, -11, 992
1, -11, 993
1, -11, 992
1, -11, 992
2, -11, 992
2, -11, 993
2, -11, 992
2, -11, 992
1, -12, 993
1, -12, 992
1, -12, 992
1, -11, 992
2, -11, 991
2, -11, 993
2, -11, 993
1, -12, 993
2, -12, 991
2, -12, 991
2, -11, 993
1, -11, 991
1, -11, 991
1, -11, 994
2, -12, 992
2, -11, 993
2, -11, 993
2, -11, 991
2, -11, 993
2, -11, 993
1, -11, 993
-,-,-
1, -12, 993
2, -12, 979
1, -11, 993
1, -11, 993
1, -11, 992
1, -11, 993
2, -11, 992
2, -11, 992
2, -11, 993
2, -12, 992
2, -12, 992
1, -11, 993
2, -12, 993
2, -12, 992
2, -11, 992
2, -11, 992
0, -11, 993
0, -11, 993
1, -11, 991
2, -11, 993
2, -11, 993
2, -11, 992
2, -11, 992
2, -11, 992
2, -11, 992
1, -11, 992
1, -11, 992
1, -11, 992
1, -10, 993
2, -11, 992
2, -11, 993
2, -11, 993
1, -11, 993
1, -11, 993
1, -11, 993
2, -12, 992
2, -11, 993
2, -11, 993
2, -12, 991
1, -12, 992
0, -12, 992
-,-,-
-4, -8, 987
10, -14, 992
10, -14, 992
1, -12, 992
1, -11, 993
2, -10, 992
2, -10, 992
2, -11, 993
1, -12, 992
1, -12, 992
1, -11, 992
1, -11, 992
2, -11, 992
2, -11, 992
1, -11, 993
1, -12, 992
1, -12, 992
1, -11, 993
2, -13, 992
2, -11, 993
2, -11, 993
2, -10, 993
2, -11, 992
2, -11, 992
1, -11, 992
1, -12, 993
1, -12, 993
2, -11, 991
2, -11, 993
2, -11, 992
2, -11, 992
1, -10, 993
1, -11, 993
1, -11, 993
2, -11, 993
2, -11, 992
2, -11, 992
2, -11, 992
2, -11, 993
1, -12, 993
1, -12, 993
2, -12, 992
1, -12, 993
2, -11, 992
2, -11, 992
2, -11, 993
-,-,-
1, -11, 993
1, -12, 981
1, -11, 993
1, -11, 993
1, -11, 993
2, -11, 992
1, -11, 993
1, -11, 993
2, -11, 993
2, -11, 992
1, -11, 992
1, -11, 992
2, -12, 993
2, -11, 992
2, -11, 992
2, -11, 992
2, -12, 993
2, -12, 993
1, -12, 993
1, -12, 993
2, -10, 993
2, -10, 993
2, -11, 992
1, -12, 992
1, -12, 992
2, -12, 993
2, -11, 991
1, -10, 992
1, -10, 992
1, -11, 992
1, -12, 993
1, -12, 993
1, -12, 993
2, -11, 993
1, -10, 992
1, -10, 992
1, -10, 993
1, -11, 991
1, -11, 991
1, -11, 993
1, -11, 993
1, -11, 993
2, -11, 993
-,-,-
0, -11, 992
2, -12, 980
2, -11, 993
2, -11, 993
2, -11, 992
1, -12, 992
1, -12, 992
0, -11, 993
1, -11, 992
3, -10, 992
3, -10, 992
2, -11, 992
1, -11, 992
1, -11, 992
1, -11, 992
0, -11, 992
2, -11, 992
2, -11, 992
2, -11, 992
2, -11, 991
2, -11, 991
1, -11, 992
0, -11, 992
1, -10, 993
1, -10, 993
2, -11, 992
1, -11, 991
1, -11, 991
2, -12, 992
1, -11, 992
1, -11, 992
1, -11, 993
1, -11, 992
2, -10, 992
2, -10, 992
1, -11, 993
2, -12, 992
2, -12, 992
1, -11, 992
1, -11, 992
1, -10, 992
1, -10, 992
2, -12, 992
-,-,-
2, -11, 993
2, -10, 985
2, -10, 992
0, -11, 993
0, -11, 993
1, -12, 993
2, -12, 992
2, -12, 992
3, -10, 991
1, -11, 992
1, -12, 993
1, -12, 993
1, -11, 992
2, -11, 992
2, -11, 992
2, -11, 992
2, -11, 992
2, -11, 992
1, -11, 992
2, -12, 991
2, -11, 991
2, -11, 991
2, -11, 991
1, -11, 992
1, -11, 992
1, -11, 992
2, -11, 992
1, -10, 991
1, -10, 991
1, -11, 991
2, -11, 991
2, -11, 991
2, -11, 992
2, -12, 992
2, -12, 992
3, -12, 991
2, -10, 992
1, -11, 992
1, -11, 992
1, -11, 993
1, -11, 992
-,-,-
2, -13, 982
2, -13, 982
0, -12, 993
1, -11, 992
1, -11, 992
1, -11, 992
2, -11, 992
2, -12, 992
2, -12, 992
2, -11, 991
1, -11, 992
1, -11, 992
2, -11, 992
2, -12, 993
2, -12, 993
2, -11, 992
1, -12, 992
1, -11, 992
1, -11, 992
1, -12, 992
2, -11, 991
2, -11, 991
2, -11, 992
2, -11, 992
1, -12, 992
1, -12, 992
0, -11, 992
1, -11, 992
1, -11, 992
3, -11, 992
